col,d_types
PPTUG_EF,float64
PPTUG_EF2,float64
CURROPER,float64
NPT4_PUB,float64
NPT4_PRIV,float64
NPT4_PROG,float64
NPT4_OTHER,float64
NPT41_PUB,float64
NPT42_PUB,float64
NPT43_PUB,float64
NPT44_PUB,float64
NPT45_PUB,float64
NPT41_PRIV,float64
NPT42_PRIV,float64
NPT43_PRIV,float64
NPT44_PRIV,float64
NPT45_PRIV,float64
NPT41_PROG,float64
NPT42_PROG,float64
NPT43_PROG,float64
NPT44_PROG,float64
NPT45_PROG,float64
NPT41_OTHER,float64
NPT42_OTHER,float64
NPT43_OTHER,float64
NPT44_OTHER,float64
NPT45_OTHER,float64
NPT4_048_PUB,float64
NPT4_048_PRIV,float64
NPT4_048_PROG,float64
NPT4_048_OTHER,float64
NPT4_3075_PUB,float64
NPT4_3075_PRIV,float64
NPT4_75UP_PUB,float64
NPT4_75UP_PRIV,float64
NPT4_3075_PROG,float64
NPT4_3075_OTHER,float64
NPT4_75UP_PROG,float64
NPT4_75UP_OTHER,float64
NUM4_PUB,float64
NUM4_PRIV,float64
NUM4_PROG,float64
NUM4_OTHER,float64
NUM41_PUB,float64
NUM42_PUB,float64
NUM43_PUB,float64
NUM44_PUB,float64
NUM45_PUB,float64
NUM41_PRIV,float64
NUM42_PRIV,float64
NUM43_PRIV,float64
NUM44_PRIV,float64
NUM45_PRIV,float64
NUM41_PROG,float64
NUM42_PROG,float64
NUM43_PROG,float64
NUM44_PROG,float64
NUM45_PROG,float64
NUM41_OTHER,float64
NUM42_OTHER,float64
NUM43_OTHER,float64
NUM44_OTHER,float64
NUM45_OTHER,float64
COSTT4_A,float64
COSTT4_P,float64
TUITIONFEE_IN,float64
TUITIONFEE_OUT,float64
TUITIONFEE_PROG,float64
TUITFTE,float64
INEXPFTE,float64
AVGFACSAL,float64
PFTFAC,float64
PCTPELL,float64
C150_4,float64
C150_L4,float64
C150_4_POOLED,float64
C150_L4_POOLED,float64
POOLYRS,float64
PFTFTUG1_EF,float64
D150_4,float64
D150_L4,float64
D150_4_POOLED,float64
D150_L4_POOLED,float64
C150_4_WHITE,float64
C150_4_BLACK,float64
C150_4_HISP,float64
C150_4_ASIAN,float64
C150_4_AIAN,float64
C150_4_NHPI,float64
C150_4_2MOR,float64
C150_4_NRA,float64
C150_4_UNKN,float64
C150_4_WHITENH,float64
C150_4_BLACKNH,float64
C150_4_API,float64
C150_4_AIANOLD,float64
C150_4_HISPOLD,float64
C150_L4_WHITE,float64
C150_L4_BLACK,float64
C150_L4_HISP,float64
C150_L4_ASIAN,float64
C150_L4_AIAN,float64
C150_L4_NHPI,float64
C150_L4_2MOR,float64
C150_L4_NRA,float64
C150_L4_UNKN,float64
C150_L4_WHITENH,float64
C150_L4_BLACKNH,float64
C150_L4_API,float64
C150_L4_AIANOLD,float64
C150_L4_HISPOLD,float64
C200_4,float64
C200_L4,float64
D200_4,float64
D200_L4,float64
RET_FT4,float64
RET_FTL4,float64
RET_PT4,float64
RET_PTL4,float64
C200_4_POOLED,float64
C200_L4_POOLED,float64
POOLYRS200,float64
D200_4_POOLED,float64
D200_L4_POOLED,float64
PCTFLOAN,float64
UG25ABV,float64
CDR2,float64
CDR3,float64
DEATH_YR2_RT,float64
COMP_ORIG_YR2_RT,float64
COMP_4YR_TRANS_YR2_RT,float64
COMP_2YR_TRANS_YR2_RT,float64
WDRAW_ORIG_YR2_RT,float64
WDRAW_4YR_TRANS_YR2_RT,float64
WDRAW_2YR_TRANS_YR2_RT,float64
ENRL_ORIG_YR2_RT,float64
ENRL_4YR_TRANS_YR2_RT,float64
ENRL_2YR_TRANS_YR2_RT,float64
UNKN_ORIG_YR2_RT,float64
UNKN_4YR_TRANS_YR2_RT,float64
UNKN_2YR_TRANS_YR2_RT,float64
LO_INC_DEATH_YR2_RT,float64
LO_INC_COMP_ORIG_YR2_RT,float64
LO_INC_COMP_4YR_TRANS_YR2_RT,float64
LO_INC_COMP_2YR_TRANS_YR2_RT,float64
LO_INC_WDRAW_ORIG_YR2_RT,float64
LO_INC_WDRAW_4YR_TRANS_YR2_RT,float64
LO_INC_WDRAW_2YR_TRANS_YR2_RT,float64
LO_INC_ENRL_ORIG_YR2_RT,float64
LO_INC_ENRL_4YR_TRANS_YR2_RT,float64
LO_INC_ENRL_2YR_TRANS_YR2_RT,float64
LO_INC_UNKN_ORIG_YR2_RT,float64
LO_INC_UNKN_4YR_TRANS_YR2_RT,float64
LO_INC_UNKN_2YR_TRANS_YR2_RT,float64
MD_INC_DEATH_YR2_RT,float64
MD_INC_COMP_ORIG_YR2_RT,float64
MD_INC_COMP_4YR_TRANS_YR2_RT,float64
MD_INC_COMP_2YR_TRANS_YR2_RT,float64
MD_INC_WDRAW_ORIG_YR2_RT,float64
MD_INC_WDRAW_4YR_TRANS_YR2_RT,float64
MD_INC_WDRAW_2YR_TRANS_YR2_RT,float64
MD_INC_ENRL_ORIG_YR2_RT,float64
MD_INC_ENRL_4YR_TRANS_YR2_RT,float64
MD_INC_ENRL_2YR_TRANS_YR2_RT,float64
MD_INC_UNKN_ORIG_YR2_RT,float64
MD_INC_UNKN_4YR_TRANS_YR2_RT,float64
MD_INC_UNKN_2YR_TRANS_YR2_RT,float64
HI_INC_DEATH_YR2_RT,float64
HI_INC_COMP_ORIG_YR2_RT,float64
HI_INC_COMP_4YR_TRANS_YR2_RT,float64
HI_INC_COMP_2YR_TRANS_YR2_RT,float64
HI_INC_WDRAW_ORIG_YR2_RT,float64
HI_INC_WDRAW_4YR_TRANS_YR2_RT,float64
HI_INC_WDRAW_2YR_TRANS_YR2_RT,float64
HI_INC_ENRL_ORIG_YR2_RT,float64
HI_INC_ENRL_4YR_TRANS_YR2_RT,float64
HI_INC_ENRL_2YR_TRANS_YR2_RT,float64
HI_INC_UNKN_ORIG_YR2_RT,float64
